SessionID,Filename,Transcription,Info
1,F_uncv_13_03.wav,um rectangles in shape of a bar graph ,
1,F_uncv_14_02.wav,rectangle shape with jaggedy cuts out the sides ,
1,F_uncv_15_03.wav,a popcorn box,
1,F_uncv_16_01.wav,a diamond in  the middle with four squares on the outside,
1,F_uncv_17_02.wav,a hexagon with a tap on the side,
1,F_uncv_18_03.wav,a handle with spikes out the top of it ,
1,F_uncv_19_03.wav,Hexagons with a circle shape in the middle,
1,F_uncv_20_03.wav,a diagonal line with semi-circles on either side ,
1,F_uncv_21_01.wav,uhh jaggedy shapes like mountains,
1,F_uncv_22_01.wav,two hexagons with a wiggly line in between them ,
1,F_uncv_23_01.wav,three stars with circles on the ends ,
1,F_uncv_24_01.wav,two circles with a long triangle coming down between them,
1,Y_uncv_13.wav,um a series of rectangles in the shape of a bar graph ,
1,Y_uncv_14.wav,uh a rectangle shape with lots of jaggedy cuts out of three of the sides ,
1,Y_uncv_15.wav,uh a popcorn box it looks like with a pattern on the side ,
1,Y_uncv_16.wav,a diamond in  the middle with four squares on the outside,
1,Y_uncv_17.wav,a hexagon with a tap on the side,
1,Y_uncv_18.wav,a sort of handle which has spikes coming out of the top of it ,
1,Y_uncv_19.wav,um hexagons with a sort of circle shape in the middle ,
1,Y_uncv_20.wav,a diagonal line with semi-circles on either side ,
1,Y_uncv_21.wav,jaggedy shapes in the shapes of mountains,
1,Y_uncv_22.wav,two hexagons with a wiggly line in between them ,
1,Y_uncv_23.wav,three stars on top of each other,
1,Y_uncv_24.wav,two circles with a long thin triangle pointing down from them ,
2,F_uncv_13_02.wav,a bar chart ,
2,F_uncv_14_02.wav,grey outline that looks like a brdge,
2,F_uncv_15_01.wav,an area of grey circles,
2,F_uncv_16_03.wav,two intersceting grey arms,
2,F_uncv_17_03.wav,a grey hexagon with an arm coming off it ,
2,F_uncv_18_03.wav,a grey outline of a sector ,****
2,F_uncv_19_02.wav,a group of grey hexagons,
2,F_uncv_20_01.wav,abstract shape with ovals coming off,
2,F_uncv_21_02.wav,grey mountains,
2,F_uncv_22_01.wav,two grey hexagons with a river between them,
2,F_uncv_23_01.wav,grey outline of stars and shell shapes,
2,F_uncv_24_03.wav,a grey abstract shape that looks like a speech bubble with a whote area intersecting it ,
2,Y_uncv_13.wav,a bar chart ,
2,Y_uncv_14.wav,a grey hape that looks like a bridge,
2,Y_uncv_15.wav,an area of grey dots,
2,Y_uncv_16.wav,um two intersecting grey arms it's a grey shape,
2,Y_uncv_17.wav,a grey hexago eith an arm,
2,Y_uncv_18.wav,grey outline of a sector,
2,Y_uncv_19.wav,a group of grey hexagons,
2,Y_uncv_20.wav,um grey abstract shape with a traight line iwht ovals coming off the line,
2,Y_uncv_21.wav,grey mountains,
2,Y_uncv_22.wav,two hexagon with a  river between them,
2,Y_uncv_23.wav,grey outline of stars and shells,
2,Y_uncv_24.wav,um a grey abstarct hape that looks like a speech bubb;e with and area of white intersecting it ,
3,F_uncv_13_02.wav,ehmm sillouted shaped looks like planks of wood goes from being quite large on the left hand side to smaller on the right hand side,
3,F_uncv_14_03.wav,silloutesed shaped that is cut out from the sides to make it kind a look edged and at the bottom its cut out,
3,F_uncv_15_01.wav,aaa sillouted haped with lots of little circles,
3,F_uncv_16_02.wav,a sillouted shape with a diamond in the middle and four squares on the edges,
3,F_uncv_17_02.wav,sillouted shape with like a pentagon at the left hand side of it,
3,F_uncv_18_03.wav,"torch, spiky torch than you can hold",
3,F_uncv_19_01.wav,a sillouted shape with lots of pentagon shapes within,
3,F_uncv_20_03.wav,eh a sillouted shape its kinda circular with reverse sides two sides,
3,F_uncv_21_01.wav,a sillouted shape with jagged edges pointing up the way,
3,F_uncv_22_03.wav,a sillouted shape with two pentagons and a squiggly line separating them,
3,F_uncv_23_01.wav,ehm complicaticated geometric sillouted shape it looks like you can see a star in the middle,
3,F_uncv_24_03.wav,sillouted shape circluar white bit kinda missing out the end,
3,Y_uncv_13.wav,ehm sillouted shape that goes from being bigger at the left hand side to smaller on the right hand side,
3,Y_uncv_14.wav,"eh sillouted obkject that is kinda edged at the side eh looks kinda pointy at the bottom with two circluar, half circular bits cut out ",
3,Y_uncv_15.wav,eh sillouted shape with lots of little circles,
3,Y_uncv_16.wav,aaa sillouted shape that has a diamond shaoe in the middle and four squares at the corners,
3,Y_uncv_17.wav,um sillouted shape with a kinda pentagon to the left hand side of it ,
3,Y_uncv_18.wav,ehm it looks like something you can hold and it has kinda spikey bits at the top,
3,Y_uncv_19.wav,um a sillouted shape that seems to have a few pentagon shapes within,
3,Y_uncv_20.wav,eh sillouted shape with kind of circluar shapes that revere on either side,
